,,,,,,,,,
"$ millions, unless otherwise indicated",2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,
1. Summary external debt data,,,,,,,,,
External debt stocks,252622.9,263643.6,292565.2,307749.4,318942.1,353563.8,379589,402106.4,417531.7
Long-term external debt,205325.7,214483.5,243736.1,266574,275594.7,304012.4,328874.6,354569.3,370191.7
Public and publicly guaranteed,127405.1,128197.3,142185,159571.4,177072.9,194953,215072.4,233527.9,248418.7
Public sector,127405.1,128197.3,142185,159571.4,177072.9,194953,215072.4,233527.9,248418.7
General Government,115107.1,112772.7,122205.6,135948.6,154761.7,175600.3,183261.5,199076.2,206990.9
Other public sector,11943.7,15180.6,19756.2,23432.7,22168.7,19257.7,31763.3,34451.7,41427.7
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Private nonguaranteed,77920.6,86286.2,101551.1,107002.6,98521.7,109059.4,113802.2,121041.4,121773
Use of IMF credit,3043.8,3049.9,2869.3,2744.4,2662.4,2820.4,2754.4,2738.6,2852.4
SDR allocations,3043.8,3049.9,2869.3,2744.4,2662.4,2820.4,2754.4,2738.6,2852.4
Short-term external debt,44253.4,46110.2,45959.8,38431,40685,46731,47960,44798.5,44487.6
Official creditors,0,0,0,0,0,0,0,0,0
Private creditors,0,0,0,0,0,0,0,0,0
Official creditors,0,0,0,0,0,0,0,0,0
Private creditors,0,0,0,0,0,0,0,0,0
External debt flows,,,,,,,,,
Disbursements,65631.2,50576.7,69957.4,67974.2,68082.7,78615.6,72086.3,94778.5,65671.9
Long-term external debt,65631.2,50576.7,69957.4,67974.2,68082.7,78615.6,72086.3,94778.5,65671.9
IMF purchases,0,0,0,0,0,0,0,0,0
Principal repayments,30853.5,33132.1,51211.2,43130.5,53835.1,46883.8,42904.7,68392.4,52577.4
Long-term external debt,30853.5,33132.1,51211.2,43130.5,53835.1,46883.8,42904.7,68392.4,52577.4
IMF repurchases,..,..,0,..,..,..,..,..,..
Net flows,40857.8,19301.3,18595.8,17314.8,16501.6,37777.7,30410.6,23224.6,12783.6
Long-term external debt,34777.7,17444.6,18746.2,24843.7,14247.6,31731.7,29181.6,26386.1,13094.5
Short-term external debt,6080.1,1856.8,-150.4,-7528.8,2254.1,6046,1229,-3161.5,-310.9
Interest payments,6378.7,8285,8908.8,17142.1,10568.8,11923.1,12563.9,13376.8,14833.5
Long-term external debt,5951.4,7725.6,8276.6,16355.8,9729.9,10594.7,10703.3,12046.2,13530.5
IMF charges,0.9,3.9,1.5,1.4,2.3,1.5,2.7,27.2,8.6
Short-term external debt,426.4,555.5,630.7,784.9,836.5,1326.9,1857.9,1303.4,1294.4
Net transfers on external debt,34479.1,11016.4,9687.1,172.8,5932.9,25854.6,17846.6,9847.8,-2050
Total debt service paid,37232.2,41417.1,60120,60272.6,64403.9,58806.9,55468.7,81769.2,67411
Long-term external debt,36804.9,40857.7,59487.8,59486.3,63565,57478.6,53608.1,80438.6,66107.9
IMF repurchases and charges,0.9,3.9,1.5,1.4,2.3,1.5,2.7,27.2,8.6
2. Other non-debt resource inflows,,,,,,,,,
Foreign direct investment,18614.6,20004,21895.3,18821.7,4683.8,18839.2,19992.6,25069.5,19348.4
Portfolio equity,1697.6,-1856,3259.3,-1546.7,1318.6,-2537.7,-3668.3,-396.9,-4361.6
Grants (excluding technical coop.),751.8,889.1,721.5,676.4,694.5,1025,710.6,593.1,..
Memo: technical coop. grants,684,515.7,495.8,403.8,387.8,335.3,362,353.6,..
3. Major economic aggregates,,,,,,,,,
Gross National Income (GNI),891961.5,885249.5,860946.5,832298.9,902045.4,983438,1011212.6,1085070,1029919.4
"Exports of goods, services and primary income",213656.2,207634.9,200953.3,174167.1,171841.8,199785.1,221233.7,207469.2,183480.9
Personal transfers and compensation of employees,7212.2,7614.4,8551.2,9659.2,8906.7,8989.5,11215.3,11666.4,9650.9
"Imports of goods, services and primary income",242168.5,240922.3,233683.1,197194.3,193254.5,220480.9,258762.2,245377.2,193864.2
Primary income on FDI,18165.8,17394.8,19460.1,18592.6,18767,21785.8,22492.1,21715.6,16874.8
Current account balance,-24417.9,-29109.2,-27509.9,-17518.7,-16952.3,-16195.6,-30633.1,-30279.1,-4451.8
International reserves,108837.3,96363.5,108835.5,103268.2,113493.4,126857.4,117424.6,125339.4,131139
4. Ratios,,,,,,,,,
External debt stock to exports (%),118.2,127,145.6,176.7,185.6,177,171.6,193.8,227.6
External debt stock to GNI (%),28.3,29.8,34,37,35.4,36,37.5,37.1,40.5
Debt service to exports (%),17.4,19.9,29.9,34.6,37.5,29.4,25.1,39.4,36.7
Interest payments to exports (%),3,4,4.4,9.8,6.2,6,5.7,6.4,8.1
Interest payments to GNI (%),0.7,0.9,1,2.1,1.2,1.2,1.2,1.2,1.4
Short-term to external debt stocks (%),17.5,17.5,15.7,12.5,12.8,13.2,12.6,11.1,10.7
Concessional to external debt stocks (%),5.5,4.7,3.8,3.5,3.3,3,2.7,2.5,2.6
Multilateral to external debt stocks (%),9.1,8.7,7.8,8.2,8.6,8,7.9,7.8,8.2
Reserves to external debt stocks (%),43.1,36.6,37.2,33.6,35.6,35.9,30.9,31.2,31.4
Reserves to imports (months),0,0,0,0,0,0,0,0,0
5. Long-term external debt,,,,,,,,,
Debt outstanding and disbursed,205325.7,214483.5,243736.1,266574,275594.7,304012.4,328874.6,354569.3,370191.7
Public and publicly guaranteed,127405.1,128197.3,142185,159571.4,177072.9,194953,215072.4,233527.9,248418.7
Official creditors,61253.4,55619.6,50618.1,50863.4,51548.6,51665.6,53072.3,52276.5,57928
Multilateral,23078.1,22868.2,22720.5,25223.2,27496.4,28363.3,30099.3,31447.1,34077.4
Concessional,3392.5,3208.8,2818.7,2468.3,2121.7,1951.3,1645.9,1436.5,1277.8
Bilateral,38175.3,32751.4,27897.6,25640.2,24052.2,23302.3,22973,20829.3,23850.6
Concessional,10610.9,9298.8,8271.7,8163.8,8332.4,8671.6,8710.4,8630.8,9623.9
Private creditors,66151.7,72577.7,91567,108708,125524.3,143287.4,162000.1,181251.4,190490.7
Bonds,59901.2,66529.3,82317,96483.7,114375.8,135396,151001.3,173224,182704.4
Commercial banks,4591.7,4629.7,5185.6,4784.4,4218.5,4115.4,8198.2,6947,7192.4
Other private,1658.8,1418.7,4064.4,7440,6930.1,3776,2800.6,1080.4,594
Public sector,127405.1,128197.3,142185,159571.4,177072.9,194953,215072.4,233527.9,248418.7
Official creditors,61253.4,55619.6,50618.1,50863.4,51548.6,51665.6,53072.3,52276.5,57928
Multilateral,23078.1,22868.2,22720.5,25223.2,27496.4,28363.3,30099.3,31447.1,34077.4
Concessional,3392.5,3208.8,2818.7,2468.3,2121.7,1951.3,1645.9,1436.5,1277.8
Bilateral,38175.3,32751.4,27897.6,25640.2,24052.2,23302.3,22973,20829.3,23850.6
Concessional,10610.9,9298.8,8271.7,8163.8,8332.4,8671.6,8710.4,8630.8,9623.9
Private creditors,66151.7,72577.7,91567,108708,125524.3,143287.4,162000.1,181251.4,190490.7
Bonds,59901.2,66529.3,82317,96483.7,114375.8,135396,151001.3,173224,182704.4
Commercial banks,4591.7,4629.7,5185.6,4784.4,4218.5,4115.4,8198.2,6947,7192.4
Other private,1658.8,1418.7,4064.4,7440,6930.1,3776,2800.6,1080.4,594
General Government,115107.1,112772.7,122205.6,135948.6,154761.7,175600.3,183261.5,199076.2,206990.9
Official creditors,59479.9,53975.2,49227,49746.5,50710.9,51107.1,52793.1,52276.5,57928
Multilateral,23078.1,22868.2,22720.5,25223.2,27496.4,28363.3,30099.3,31447.1,34077.4
Concessional,3392.5,3208.8,2818.7,2468.3,2121.7,1951.3,1645.9,1436.5,1277.8
Bilateral,36401.8,31107,26506.6,24523.3,23214.5,22743.8,22693.7,20829.3,23850.6
Concessional,10610.9,9298.8,8271.7,8163.8,8332.4,8671.6,8710.4,8630.8,9623.9
Private creditors,55627.2,58797.5,72978.6,86202.1,104050.8,124493.2,130468.5,146799.7,149062.9
Bonds,52391.2,55273.3,69061,82486.9,100429,120899.2,127297,143824,145438.1
Commercial banks,2907.3,3245.6,3712.3,3534.2,3405.9,3416.1,3030.5,2872.1,3475
Other private,328.7,278.6,205.3,181,215.9,177.9,140.9,103.6,149.8
Other public sector,11943.7,15180.6,19756.2,23432.7,22168.7,19257.7,31763.3,34451.7,41427.7
Official creditors,1773.5,1644.4,1391,1117,837.7,558.5,279.2,0,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,1773.5,1644.4,1391,1117,837.7,558.5,279.2,0,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,10170.2,13536.2,18365.2,22315.8,21331,18699.2,31484.1,34451.7,41427.7
Bonds,7510,11256,13256,13996.8,13946.8,14496.8,23704.3,29400,37266.2
Commercial banks,1330.1,1140.1,1250.1,1060.1,670.1,604.3,5120.1,4074.9,3717.3
Other private,1330.1,1140.1,3859.1,7259,6714.2,3598.2,2659.7,976.8,444.2
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,77920.6,86286.2,101551.1,107002.6,98521.7,109059.4,113802.2,121041.4,121773
Bonds,9986.6,11766.6,13266.7,14278.5,13305.6,14382.6,15037.9,16515.5,18207.6
Commercial banks and other,67934.1,74519.7,88284.4,92724.1,85216.2,94676.8,98764.3,104525.9,103565.4
Memo:,,,,,,,,,
IBRD,10467.7,11339.1,12175.5,14370.2,15747.8,16550.3,17314.7,18112.5,18832.5
IDA,2199.9,2095.1,1877.9,1673.8,1476.4,1391,1192.3,996.3,836.5
Disbursements,65631.2,50576.7,69957.4,67974.2,68082.7,78615.6,72086.3,94778.5,65671.9
Public and publicly guaranteed,28870.7,13339.8,28164.5,27261.5,26668.9,27534.5,31060,31656.2,30834.1
Official creditors,3195.9,3881.2,3137.7,5277.1,4281.5,3522.3,6114.1,4503.1,9199.4
Multilateral,2045.4,1801.5,1644.2,3879.7,2969.2,2045.5,3416.3,3681.9,4690.9
Concessional,87.8,35,5.7,7.6,2.8,0,14.9,68.2,61.8
Bilateral,1150.5,2079.8,1493.4,1397.4,1312.4,1476.8,2697.8,821.2,4508.5
Concessional,718.8,562,492.8,443.7,480.2,486.9,525.4,389.1,1104.2
Private creditors,25674.8,9458.6,25026.8,21984.4,22387.3,24012.2,24945.9,27153,21634.6
Bonds,25463.8,8647,20590.9,16403.1,19003.5,23098.3,18484.6,26436.2,19196
Commercial banks,210.9,811.6,1526.9,581.5,538.1,793.2,5316,716.8,2365.1
Other private,0,0,2909,4999.8,2845.7,120.7,1145.3,0,73.5
Public sector,28870.7,13339.8,28164.5,27261.5,26668.9,27534.5,31060,31656.2,30834.1
