,,,,,,,,,
"$ millions, unless otherwise indicated",2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,
1. Summary external debt data,,,,,,,,,
External debt stocks,21466.9,24482.4,28628.8,32413.5,35717.8,45780,54202.6,60047,70570.5
Long-term external debt,18891.9,21901.8,26201.1,30091.7,33465.5,43394.1,51872.5,57730.3,64622.4
Public and publicly guaranteed,6679.3,8285,9666.2,10677,11319.7,18829.9,25250.4,27572,29749.8
Public sector,6679.3,8285,9666.2,10677,11319.7,18829.9,25250.4,27572,29749.8
General Government,6679.3,8285,9590.4,10463.6,11062,18504,24859.1,27171.8,29307.8
Other public sector,..,0,75.8,213.4,257.7,325.9,391.4,400.2,442
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Private nonguaranteed,12212.6,13616.7,16534.9,19414.7,22145.8,24564.1,26622.1,30158.3,34872.6
Use of IMF credit,2574.9,2580.1,2427.3,2321.6,2252.3,2386,2330.1,2316.8,5948.1
SDR allocations,2574.9,2580.1,2427.3,2321.6,2252.3,2386,2330.1,2316.8,2413
Short-term external debt,0,0.5,0.4,0.1,0,0,0,0,0
Official creditors,0,0.5,0.4,0.1,0,0,0,0,0
Private creditors,0,0,0,0,0,0,0,0,0
Official creditors,0,0,0,0,0,0,0,0,0
Private creditors,0,0,0,0,0,0,0,0,0
External debt flows,,,,,,,,,
Disbursements,1585.2,3274,8968,5326,5538.2,12118.9,12650.4,9211.9,13433.2
Long-term external debt,1585.2,3274,8968,5326,5538.2,12118.9,12650.4,9211.9,10013.9
IMF purchases,0,0,0,0,0,0,0,0,3419.3
Principal repayments,1192.5,225.5,4277.6,1124.7,1849.5,2706.9,3954.1,3275.5,3671
Long-term external debt,1192.5,225.5,4277.6,1124.7,1849.5,2706.9,3954.1,3275.5,3671
IMF repurchases,..,..,0,..,..,..,..,..,0
Net flows,392.7,3048.5,4690.4,4201.3,3688.8,9412,8696.3,5936.4,9762.2
Long-term external debt,392.7,3048.5,4690.4,4201.3,3688.8,9412,8696.3,5936.4,6343
Short-term external debt,0,0,0,0,0,0,0,0,0
Interest payments,144.7,270.1,268.2,477.2,642.2,823.2,1414.3,1855.4,1872.9
Long-term external debt,144,266.8,266.9,476,640.2,822,1412.1,1832.4,1847
IMF charges,0.8,3.3,1.3,1.2,2,1.2,2.2,23,25.9
Short-term external debt,..,..,..,..,..,..,..,..,..
Net transfers on external debt,247.9,2778.3,4422.2,3724.1,3046.6,8588.8,7282,4081,7889.3
Total debt service paid,1337.2,495.7,4545.8,1601.9,2491.7,3530.1,5368.4,5130.9,5543.9
Long-term external debt,1336.4,492.3,4544.5,1600.7,2489.7,3528.8,5366.2,5107.9,5517.9
IMF repurchases and charges,0.8,3.3,1.3,1.2,2,1.2,2.2,23,25.9
2. Other non-debt resource inflows,,,,,,,,,
Foreign direct investment,7002.6,5534.3,4680.8,3059.9,2133.6,1150,-563.3,851.2,929.9
Portfolio equity,9959,5532.1,1045,-476.6,325.1,1360.4,1259.2,-1548.5,-255.2
Grants (excluding technical coop.),1092.7,1352,1164.1,1175.9,1398.3,2037,1964,1988.6,..
Memo: technical coop. grants,315.3,358.4,376.6,351.4,346.4,346.4,236.8,241.8,..
3. Major economic aggregates,,,,,,,,,
Gross National Income (GNI),433602.6,483482.8,528433.8,473995.5,395951.1,364253.9,378866.8,433449.5,416521.1
"Exports of goods, services and primary income",99480.3,100299.8,86220.2,49978.5,39692.6,52334,68089.2,72245.9,41495.8
Personal transfers and compensation of employees,20542.9,20797.1,20999.1,20626,19697.9,22037,24311,23809.3,17207.5
"Imports of goods, services and primary income",103916.1,103055.3,107242.7,85586,54504.5,61640.2,85962.7,113242.2,79494.1
Primary income on FDI,22276.5,25257,19668,12462.7,6361.1,9319.6,12243,10273,5524.7
Current account balance,17374.3,19049,906.5,-15438.6,5077.2,12689.3,6260.6,-14627,-16975.9
International reserves,46405.2,45427.3,36668.7,28283.2,27233,39608.5,42838.9,38335.9,36729.6
4. Ratios,,,,,,,,,
External debt stock to exports (%),21.6,24.4,33.2,64.9,90,87.5,79.6,83.1,170.1
External debt stock to GNI (%),5,5.1,5.4,6.8,9,12.6,14.3,13.9,16.9
Debt service to exports (%),1.3,0.5,5.3,3.2,6.3,6.7,7.9,7.1,13.4
Interest payments to exports (%),0.1,0.3,0.3,1,1.6,1.6,2.1,2.6,4.5
Interest payments to GNI (%),0,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4
Short-term to external debt stocks (%),0,0,0,0,0,0,0,0,0
Concessional to external debt stocks (%),24.3,24.3,22.1,20.6,18.9,17.2,15,13.8,12.1
Multilateral to external debt stocks (%),25,25.5,23.5,23.1,22.1,22.1,20.2,20.9,20.3
Reserves to external debt stocks (%),216.2,185.6,128.1,87.3,76.2,86.5,79,63.8,52
Reserves to imports (months),0,0,0,0,0,0,0,0,0
5. Long-term external debt,,,,,,,,,
Debt outstanding and disbursed,18891.9,21901.8,26201.1,30091.7,33465.5,43394.1,51872.5,57730.3,64622.4
Public and publicly guaranteed,6679.3,8285,9666.2,10677,11319.7,18829.9,25250.4,27572,29749.8
Official creditors,6179.3,7285,8166.2,9177,9819.7,12529.9,14082.1,16403.6,18581.4
Multilateral,5356.4,6238.4,6727.3,7494.3,7884.5,10110.4,10932.3,12525.2,14325.8
Concessional,5207.6,5955.3,6270.2,6546.1,6546.1,7521.2,7689.7,7798.6,8048.4
Bilateral,823,1046.6,1438.8,1682.7,1935.2,2419.6,3149.8,3878.4,4255.6
Concessional,0,0,55.7,138,190.1,335.3,444.1,459.6,477
Private creditors,500,1000,1500,1500,1500,6300,11168.4,11168.4,11168.4
Bonds,500,1000,1500,1500,1500,6300,11168.4,11168.4,11168.4
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Public sector,6679.3,8285,9666.2,10677,11319.7,18829.9,25250.4,27572,29749.8
Official creditors,6179.3,7285,8166.2,9177,9819.7,12529.9,14082.1,16403.6,18581.4
Multilateral,5356.4,6238.4,6727.3,7494.3,7884.5,10110.4,10932.3,12525.2,14325.8
Concessional,5207.6,5955.3,6270.2,6546.1,6546.1,7521.2,7689.7,7798.6,8048.4
Bilateral,823,1046.6,1438.8,1682.7,1935.2,2419.6,3149.8,3878.4,4255.6
Concessional,0,0,55.7,138,190.1,335.3,444.1,459.6,477
Private creditors,500,1000,1500,1500,1500,6300,11168.4,11168.4,11168.4
Bonds,500,1000,1500,1500,1500,6300,11168.4,11168.4,11168.4
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
General Government,6679.3,8285,9590.4,10463.6,11062,18504,24859.1,27171.8,29307.8
Official creditors,6179.3,7285,8090.4,8963.6,9562,12204,13690.7,16003.4,18139.4
Multilateral,5356.4,6238.4,6651.6,7280.9,7626.8,9784.4,10540.9,12125,13883.9
Concessional,5207.6,5955.3,6194.4,6332.7,6288.4,7195.2,7298.4,7398.4,7606.4
Bilateral,823,1046.6,1438.8,1682.7,1935.2,2419.6,3149.8,3878.4,4255.6
Concessional,0,0,55.7,138,190.1,335.3,444.1,459.6,477
Private creditors,500,1000,1500,1500,1500,6300,11168.4,11168.4,11168.4
Bonds,500,1000,1500,1500,1500,6300,11168.4,11168.4,11168.4
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Other public sector,..,0,75.8,213.4,257.7,325.9,391.4,400.2,442
Official creditors,..,0,75.8,213.4,257.7,325.9,391.4,400.2,442
Multilateral,..,0,75.8,213.4,257.7,325.9,391.4,400.2,442
Concessional,..,0,75.8,213.4,257.7,325.9,391.4,400.2,442
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private sector guaranteed by public sector,..,..,..,..,..,..,..,..,..
Official creditors,..,..,..,..,..,..,..,..,..
Multilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,12212.6,13616.7,16534.9,19414.7,22145.8,24564.1,26622.1,30158.3,34872.6
Bonds,850,2125,4475,5275,5942.3,6942.3,6017.3,6367.3,5817.3
Commercial banks and other,11362.6,11491.7,12059.9,14139.7,16203.5,17621.8,20604.7,23791,29055.3
Memo:,,,,,,,,,
IBRD,0,..,..,3.6,3.9,124.2,124.2,409.5,410
IDA,4686,5278.1,5778.8,6222.3,6636.2,7788.8,8432.8,9549.7,11005.2
Disbursements,1585.2,3274,8968,5326,5538.2,12118.9,12650.4,9211.9,10013.9
Public and publicly guaranteed,833.3,1869.9,1910.1,1436.3,1137.5,7131,7373.5,2695.3,2164.5
Official creditors,833.3,1369.9,1410.1,1436.3,1137.5,2331,2005.2,2695.3,2164.5
Multilateral,575.9,1044.6,975.7,1171.5,866.8,1830.6,1192.7,1876.7,1650.7
Concessional,565.4,889.1,763.7,648.3,431.9,609.7,458.6,308.8,110
Bilateral,257.4,325.3,434.4,264.9,270.7,500.4,812.5,818.7,513.8
Concessional,0,0,56.9,83.3,50.3,141.2,108,28.6,37.1
Private creditors,0,500,500,0,0,4800,5368.4,0,0
Bonds,0,500,500,0,0,4800,5368.4,0,0
Commercial banks,0,0,0,0,0,0,0,0,0
Other private,0,0,0,0,0,0,0,0,0
Public sector,833.3,1869.9,1910.1,1436.3,1137.5,7131,7373.5,2695.3,2164.5
Official creditors,833.3,1369.9,1410.1,1436.3,1137.5,2331,2005.2,2695.3,2164.5
Multilateral,575.9,1044.6,975.7,1171.5,866.8,1830.6,1192.7,1876.7,1650.7
Concessional,565.4,889.1,763.7,648.3,431.9,609.7,458.6,308.8,110
Bilateral,257.4,325.3,434.4,264.9,270.7,500.4,812.5,818.7,513.8
Concessional,0,0,56.9,83.3,50.3,141.2,108,28.6,37.1
Private creditors,0,500,500,0,0,4800,5368.4,0,0
Bonds,0,500,500,0,0,4800,5368.4,0,0
Commercial banks,0,0,0,0,0,0,0,0,0
Other private,0,0,0,0,0,0,0,0,0
General Government,833.3,1869.9,1829.9,1293.4,1084.7,7079.3,7300,2684,2134
Official creditors,833.3,1369.9,1329.9,1293.4,1084.7,2279.3,1931.6,2684,2134
Multilateral,575.9,1044.6,895.5,1028.5,814,1778.9,1119.2,1865.4,1620.2
Concessional,565.4,889.1,683.5,505.4,379.1,558,385.1,297.5,79.5
Bilateral,257.4,325.3,434.4,264.9,270.7,500.4,812.5,818.7,513.8
Concessional,0,0,56.9,83.3,50.3,141.2,108,28.6,37.1
Private creditors,0,500,500,0,0,4800,5368.4,0,0
Bonds,0,500,500,0,0,4800,5368.4,0,0
Commercial banks,0,0,0,0,0,0,0,0,0
Other private,0,0,0,0,0,0,0,0,0
