,,,,,,,,,
"$ millions, unless otherwise indicated",2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,
1. Summary external debt data,,,,,,,,,
External debt stocks,338827.3,390350,406061.7,399948.9,409420.9,456562.2,445973.3,440773,435889.4
Long-term external debt,236161.8,258409.2,269434.1,293333,306738,335173.6,327989,316189.4,295908.4
Public and publicly guaranteed,100190.4,106279.4,105469.5,103282.9,107727.5,117842.8,121211.3,124922.8,132391.7
Public sector,99649.6,105705.7,104987.5,102875.6,107375.3,117496.9,120925,124679.1,132181.3
General Government,83275,87856.7,86594.3,82797.6,84350.5,92235.7,93203.3,99590.3,106562.7
Other public sector,10322.6,13448,16251.5,18926.7,22273.7,25097.4,27531.6,24880.5,25422.9
Private sector guaranteed by public sector,540.8,573.7,482,407.4,352.2,345.9,286.3,243.7,210.4
Private nonguaranteed,135971.4,152129.8,163964.6,190050.1,199010.6,217330.8,206777.7,191266.6,163516.7
Use of IMF credit,2510.5,1649.8,1552.1,1484.6,1440.2,1525.7,1490,1481.5,1543
SDR allocations,1646.5,1649.8,1552.1,1484.6,1440.2,1525.7,1490,1481.5,1543
Short-term external debt,100155,130291,135075.5,105131.3,101242.7,119862.9,116494.3,123102.1,138438
Official creditors,0,0,0,0,0,0,0,0,0
Private creditors,0,0,0,0,0,0,0,0,0
Official creditors,0,0,0,0,0,0,0,0,0
Private creditors,0,0,0,0,0,0,0,0,0
External debt flows,,,,,,,,,
Disbursements,65307.3,77921.6,74896.6,37297,81760.1,88317.8,68568.3,58895,58060.8
Long-term external debt,65307.3,77921.6,74896.6,37297,81760.1,88317.8,68568.3,58895,58060.8
IMF purchases,0,0,0,0,0,0,0,0,0
Principal repayments,43329.2,47798.5,41473,41977.7,61603.3,69196.8,67974.3,69211.8,68665.3
Long-term external debt,41325.6,46941,41473,41977.7,61603.3,69196.8,67974.3,69211.8,68665.3
IMF repurchases,2003.5,857.5,0,..,..,..,..,..,..
Net flows,40577.1,60259.1,38208.1,-34624.9,16268.2,37741.2,-2774.5,-3709,4731.4
Long-term external debt,23981.6,30980.6,33423.6,-4680.7,20156.8,19121,594,-10316.8,-10604.5
Short-term external debt,18599,30136,4784.5,-29944.2,-3888.6,18620.2,-3368.6,6607.8,15335.9
Interest payments,13584,16038.7,16843.8,13857.3,14492.2,17426.3,16346,17730,18408.5
Long-term external debt,8551.3,9371.2,9937,10194.2,10934,12098.2,11523.4,12620.7,12674.5
IMF charges,24.9,6.1,0.8,0.8,1.3,0.8,1.4,14.7,4.7
Short-term external debt,5007.8,6661.4,6906,3662.3,3557,5327.3,4821.1,5094.6,5729.3
Net transfers on external debt,26993.1,44220.4,21364.3,-48482.3,1776,20314.9,-19120.5,-21439,-13677.1
Total debt service paid,56913.1,63837.2,58316.8,55835,76095.5,86623.1,84320.2,86941.8,87073.9
Long-term external debt,49877,56312.3,51410,52171.9,72537.2,81295,79497.7,81832.5,81339.9
IMF repurchases and charges,2028.4,863.6,0.8,0.8,1.3,0.8,1.4,14.7,4.7
2. Other non-debt resource inflows,,,,,,,,,
Foreign direct investment,12764,12985,12692,15973,10848,10175,12144,10488,8803
Portfolio equity,6276,842,2559,-2395,823,2971,-1131,406,-4255
Grants (excluding technical coop.),606,612.7,820.4,1001.4,2101.1,1871.8,1268.4,1677.6,..
Memo: technical coop. grants,160.2,153.4,159.7,137.1,186.6,231.1,266.8,374.5,..
3. Major economic aggregates,,,,,,,,,
Gross National Income (GNI),873968.4,949165.2,930744.5,854632.6,860511.9,847903.2,766524,748161.4,711144.6
"Exports of goods, services and primary income",211278,231556,240493,214861,204335,227654,243667,251318,210618
Personal transfers and compensation of employees,1881,1901,1739,1395,1186,1048,1122,810,795
"Imports of goods, services and primary income",260689,288689,280864,243566,232916,270989,266167,246828,245755
Primary income on FDI,2657,3682,2362,3590,3139,3285,3203,3508,1796
Current account balance,-47960,-55856,-38851,-27314,-27038,-40810,-21744,5315,-35018
International reserves,99942.6,110926.7,106906.4,92920.8,90919.2,84115.1,72866.8,78532.3,49958.3
4. Ratios,,,,,,,,,
External debt stock to exports (%),160.4,168.6,168.8,186.1,200.4,200.6,183,175.4,207
External debt stock to GNI (%),38.8,41.1,43.6,46.8,47.6,53.8,58.2,58.9,61.3
Debt service to exports (%),26.9,27.6,24.2,26,37.2,38.1,34.6,34.6,41.3
Interest payments to exports (%),6.4,6.9,7,6.4,7.1,7.7,6.7,7.1,8.7
Interest payments to GNI (%),1.6,1.7,1.8,1.6,1.7,2.1,2.1,2.4,2.6
Short-term to external debt stocks (%),29.6,33.4,33.3,26.3,24.7,26.3,26.1,27.9,31.8
Concessional to external debt stocks (%),1.1,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7
Multilateral to external debt stocks (%),7.2,6.9,6.4,6.3,6.3,6.2,6.3,6.1,6.4
Reserves to external debt stocks (%),29.5,28.4,26.3,23.2,22.2,18.4,16.3,17.8,11.5
Reserves to imports (months),0,0,0,0,0,0,0,0,0
5. Long-term external debt,,,,,,,,,
Debt outstanding and disbursed,236161.8,258409.2,269434.1,293333,306738,335173.6,327989,316189.4,295908.4
Public and publicly guaranteed,100190.4,106279.4,105469.5,103282.9,107727.5,117842.8,121211.3,124922.8,132391.7
Official creditors,30918,33137.3,32035.1,30714.4,30879.9,34596,34502.6,34252.3,34710.1
Multilateral,24342.8,27027.8,26159.8,25144,25593.2,28505.4,28269.1,26845.2,27689
Concessional,431.2,478.9,419.6,373.5,343.3,351.4,350.6,359.8,478.8
Bilateral,6575.2,6109.4,5875.3,5570.4,5286.7,6090.7,6233.5,7407.1,7021.1
Concessional,3355.9,3015.2,2697.6,2556.6,2512.9,2622.6,2594.4,2530,2557.5
Private creditors,69272.4,73142.2,73434.4,72568.5,76847.5,83246.7,86708.7,90670.4,97681.6
Bonds,52445.7,58426.9,62694.1,64242.9,67141,74435.7,77325.7,82204.7,88290.5
Commercial banks,15649.2,13691.8,10099.5,7974.2,9459.3,8714.9,9345.3,8458.6,9388
Other private,1177.5,1023.5,640.9,351.4,247.2,96.2,37.7,7.2,3.1
Public sector,99649.6,105705.7,104987.5,102875.6,107375.3,117496.9,120925,124679.1,132181.3
Official creditors,30377.2,32563.6,31553.1,30307,30527.8,34250.1,34216.3,34008.6,34499.7
Multilateral,23802,26454.1,25677.8,24736.6,25241,28159.5,27982.9,26601.5,27478.6
Concessional,34.8,29.5,25.1,20.7,17.5,14.2,66.1,116.1,268.4
Bilateral,6575.2,6109.4,5875.3,5570.4,5286.7,6090.7,6233.5,7407.1,7021.1
Concessional,3355.9,3015.2,2697.6,2556.6,2512.9,2622.6,2594.4,2530,2557.5
Private creditors,69272.4,73142.2,73434.4,72568.5,76847.5,83246.7,86708.7,90670.4,97681.6
Bonds,52445.7,58426.9,62694.1,64242.9,67141,74435.7,77325.7,82204.7,88290.5
Commercial banks,15649.2,13691.8,10099.5,7974.2,9459.3,8714.9,9345.3,8458.6,9388
Other private,1177.5,1023.5,640.9,351.4,247.2,96.2,37.7,7.2,3.1
General Government,83275,87856.7,86594.3,82797.6,84350.5,92235.7,93203.3,99590.3,106562.7
Official creditors,22317.9,23200.9,21615.4,20116.6,19689.1,21390.6,20820.6,19803.9,21068.9
Multilateral,16046.6,17664.3,16577.5,15539.3,15433.9,16951.2,16627.8,15781.7,16916.2
Concessional,34.8,29.5,25.1,20.7,17.5,14.2,66.1,116.1,268.4
Bilateral,6271.3,5536.5,5037.9,4577.3,4255.2,4439.4,4192.8,4022.2,4152.8
Concessional,3348.7,2998.8,2665.9,2506.6,2438.2,2481.8,2373.2,2265.5,2264.9
Private creditors,60957.1,64655.8,64978.9,62680.9,64661.4,70845,72382.7,79786.5,85493.8
Bonds,51195.7,55676.9,58128.8,57410.7,59954,66767.1,69205.8,75846.4,81190.5
Commercial banks,8807.1,8126.7,6319.1,4975.6,4494,4005.7,3150.6,3932.8,4300.1
Other private,954.3,852.3,531,294.6,213.3,72.2,26.3,7.2,3.1
Other public sector,10322.6,13448,16251.5,18926.7,22273.7,25097.4,27531.6,24880.5,25422.9
Official creditors,8059.3,9362.7,9937.7,10190.4,10798.7,12704.1,13214,14004.7,13243.3
Multilateral,7755.4,8789.8,9100.3,9197.3,9767.1,11052.9,11173.3,10619.8,10375
Concessional,..,..,..,..,..,..,..,..,..
Bilateral,303.9,572.9,837.3,993.1,1031.5,1651.3,2040.7,3384.9,2868.3
Concessional,7.2,16.4,31.7,50,74.8,140.8,221.2,264.6,292.6
Private creditors,2263.3,4085.2,6313.8,8736.3,11475,12393.3,14317.6,10875.8,12179.6
Bonds,1250,2750,4565.3,6832.2,7187,7668.6,8119.8,6358.2,7100
Commercial banks,790.1,1164,1638.6,1847.3,4254.2,4700.8,6186.3,4517.5,5079.6
Other private,223.1,171.2,109.9,56.8,33.8,24,11.5,0,..
Private sector guaranteed by public sector,540.8,573.7,482,407.4,352.2,345.9,286.3,243.7,210.4
Official creditors,540.8,573.7,482,407.4,352.2,345.9,286.3,243.7,210.4
Multilateral,540.8,573.7,482,407.4,352.2,345.9,286.3,243.7,210.4
Concessional,396.4,449.4,394.5,352.8,325.7,337.2,284.5,243.7,210.4
Bilateral,..,..,..,..,..,..,..,..,..
Concessional,..,..,..,..,..,..,..,..,..
Private creditors,..,..,..,..,..,..,..,..,..
Bonds,..,..,..,..,..,..,..,..,..
Commercial banks,..,..,..,..,..,..,..,..,..
Other private,..,..,..,..,..,..,..,..,..
Private nonguaranteed,135971.4,152129.8,163964.6,190050.1,199010.6,217330.8,206777.7,191266.6,163516.7
Bonds,12578.7,20885,29836.5,29666,34474.7,41601.9,38894.2,38373.2,37130.6
Commercial banks and other,123392.7,131244.8,134128.1,160384.1,164535.9,175728.9,167883.6,152893.5,126386.2
Memo:,,,,,,,,,
IBRD,13152.2,14014,12906.5,11713.6,10845.4,12028.2,11676.7,11356.8,11922.2
IDA,30,25.1,20.7,17.2,14.2,11.2,8.2,5.7,3.1
Disbursements,65307.3,77921.6,74896.6,37297,81760.1,88317.8,68568.3,58895,58060.8
Public and publicly guaranteed,13197.3,12593.1,14068.4,9067.2,14324.2,17578.6,15843.8,17226,16391.9
Official creditors,3710.6,3793.5,4122.4,2797.6,3258.4,4103.7,3406.1,3021.8,3311.9
Multilateral,3389.3,3186.5,3209.6,2408,3010.8,3140.4,2650.6,1300.3,1600.9
Concessional,171.9,35.3,0.6,0,0.4,0,57.2,53.9,135.2
Bilateral,321.2,607,912.8,389.6,247.6,963.3,755.5,1721.5,1711.1
Concessional,232.4,142.5,174.8,75.8,90.3,145.8,124.9,76.3,46.7
Private creditors,9486.7,8799.6,9946,6269.7,11065.8,13474.9,12437.6,14204.2,13079.9
Bonds,7927.2,7613.3,9043.6,5249.8,7498.4,11272.7,8234,11649.5,10769.7
Commercial banks,1525.5,1147.8,902.4,1019.9,3567.5,2202.2,4203.7,2554.7,2310.3
Other private,34,38.5,0,0,0,0,0,0,0
Public sector,13025.3,12557.7,14068.4,9067.2,14324.2,17578.6,15843.8,17226,16391.9
Official creditors,3538.7,3758.2,4122.4,2797.6,3258.4,4103.7,3406.1,3021.8,3311.9
